Hat001	タイトル：The Mathematics of Coordinated Inference -A Study of Generalized Hat Problems-	著者・作者：Christopher S Hardin, Alan D Taylor	年月日：2013年10月28日,  出版元：Springer	所持？：所持,  公式HPまたは入手場所：\href{https://www.springer.com/gp/book/9783319013329}{ここ},  AmazonのURL：\href{https://www.amazon.co.jp/Mathematics-Coordinated-Inference-Generalized-Developments/dp/3319013327}{ここ}	メモ：本当はタイトルに「-」は入っていないがファイル名として採用できるようにこのように修正した.\cite{Hat033}も同様.	タグ：Hat001,  文献番号：\cite{Hat001}
Hat004	タイトル：An introduction to infinite hat problems	著者・作者：Christopher S Hardin, Alan D Taylor	年月日：2008年9月1日,  雑誌名：The Mathematical Intelligencer,  volume：30,  page：20-25	所持？：所持,  公式HPまたは入手場所：\href{https://www.cs.umd.edu/{\textasciitilde}gasarch/TOPICS/hats/infinite-hats-and-ac.pdf}{ここ}	タグ：Hat004,  文献番号：\cite{Hat004}
Hat015	タイトル：A note on the problem of prisoners and hats	著者・作者：Petr Glivick\'{y}	年月日：2018年1月3日	所持？：所持,  公式HPまたは入手場所：\href{https://arxiv.org/abs/1801.01184}{ここ}	タグ：Hat015,  文献番号：\cite{Hat015}
Hat062	タイトル：Problem 5348	著者・作者：Fred Galvin	年月日：1965年（月日は不明）,  雑誌名：American Mathematical Monthly,  volume：72,  page：1136	所持？：所持	タグ：Hat062,  文献番号：\cite{Hat062}
Hat063	タイトル：Solution of problem 5348	著者・作者：B. L. D. Thorp	年月日：1967年（月日は不明）,  雑誌名：American Mathematical Monthly,  volume：74,  page：730-731	所持？：所持	タグ：Hat063,  文献番号：\cite{Hat063}
Puzzle005	タイトル：光と影と赤い帽子	著者・作者：高木 茂男	年月日：1970年4月（日にちは不明）,  出版元：日本数学史学会,  雑誌名：数学史研究,  volume：8,  number：2,  page：16	所持？：所持,  公式HPまたは入手場所：\href{http://www.wasan.jp/sugakusipdf/sugakusi45.pdf}{ここ}	タグ：Puzzle005,  文献番号：\cite{Puzzle005}
